house_floor,city,house_area,fee,house_used,estate,m2_price,street_name,house_style,property_right,field,total_price,house_decoration,sele_power,house_direction,build_area,room_link
中楼层 (共33层),重庆,96.59㎡,,满两年,东原D7一期,13339yuan/m2,大石坝,3室2厅1厨2卫,50年,江北,162w,其他,"
                    清水大三房，次卧带阳台，中庭视野中间楼层住家安静。
                  ",北,121.45㎡,https://cq.lianjia.com/ershoufang/106100644998.html
高楼层 (共18层),惠州,59.66㎡,,满两年,长汀花园,12024yuan/m2,大亚湾西区,2室2厅1厨1卫,70年,大亚湾,88w,其他,"
                    红本在手，满两年，看房方便 毛坯两房，户型方正朝南
                  ",南,73.19㎡,https://hui.lianjia.com/ershoufang/105101034205.html
中楼层 (共10层),惠州,143.13㎡,,满两年,尚城世家一期,12086yuan/m2,淡水,4室2厅1厨2卫,70年,惠阳,192w,其他,"
                    小区绿化 率高 1梯2户 南北通透户型 位置安静 
                  ",南,158.87㎡,https://hui.lianjia.com/ershoufang/105101028788.html
中楼层 (共20层),惠州,35.5㎡,,满五年,中豪国际,6168yuan/m2,淡水,1室1厅1厨1卫,50年,惠阳,30w,精装,"
                    中豪国际位于白云三路，离惠阳区党校步行700米，离惠阳区南华医院步行300米。惠阳区中医医院800米，惠阳区第四中 学500米，上学就医非   常方便适合居家老人小孩！
                  ",北,48.64㎡,https://hui.lianjia.com/ershoufang/105100946582.html
低楼层 (共11层),惠州,102.44㎡,,满五年,瑞景居,11873yuan/m2,南站新城,3室2厅1厨1卫,70年,惠阳,135w,精装,"
                    惠阳区首 个以亚热带风情为格调的人工生态园林住宅社区--瑞景居位于淡水镇星河路。整个社区占地6万平方米，总建筑面积12万平方米，设计为26栋800套住宅。楼形为弧形
                  ",南 北,113.71㎡,https://hui.lianjia.com/ershoufang/105101005054.html
低楼层 (共26层),惠州,139.95㎡,,满两年,星河丹堤C区,16261yuan/m2,南站新城,4室2厅1厨2卫,70年,惠阳,280w,精装,"
                    星河丹堤 南北通透 带精装修80万红木家私 有钥匙 
                  ",南 北,172.2㎡,https://hui.lianjia.com/ershoufang/105101043137.html
中楼层 (共11层),惠州,88.82㎡,,满两年,花样年别样城一期,10705yuan/m2,淡水,3室2厅1厨2卫,70年,惠阳,110w,毛坯,"
                    满五年 户型方正，标准三房，中间楼层，采光通风好
                  ",西北,102.76㎡,https://hui.lianjia.com/ershoufang/105101038897.html
低楼层 (共18层),惠州,72.63㎡,,满五年,丽江花园南区,11956yuan/m2,淡水,2室2厅1厨1卫,70年,惠阳,107w,其他,"
                    丽江花园毗 邻惠阳区镇府 大剧院和占地16万平方米的市政广场 占地65254平，建面15，8万平总户数927户 容积仅为2.08 绿化33%由13栋小高层组成 停车位603个 由中国粤海房地产开发 广州丽江花园物业管理公司管理。小区自带泳池以及幼儿园 体现品味人居环境
                  ",东南,89.5㎡,https://hui.lianjia.com/ershoufang/105101001325.html
高楼层 (共21层),惠州,90.13㎡,,满五年,景茂国际,8869yuan/m2,淡水,2室2厅1厨1卫,70年,惠阳,105w,精装,"
                    此房是一手业主，买来满五年了，之前自己开公司，就把此房装修成办公场地，现在全职带孩子，公司没开了，所以把此房出售。
                  ",南,118.4㎡,https://hui.lianjia.com/ershoufang/105100911690.html
中楼层 (共18层),重庆,112.09㎡,,满五年,青河苑,9293yuan/m2,汽博中心,3室2厅1厨2卫,50年,渝北,120w,其他,"
                    小区建成年代：2007年 物业公司：重庆恒运物业管理公司 开发商：重庆明生实业（集团）有限公司
                  ",南,129.13㎡,https://cq.lianjia.com/ershoufang/106100731452.html
高楼层 (共32层),重庆,82.06㎡,,满两年,珠江国际,18571yuan/m2,北滨路,2室2厅1厨2卫,50年,江北,193w,其他,"
                    珠江国际正规看中庭 江景 清水两房，楼层高 视野开阔 采光好
                  ",南,103.93㎡,https://cq.lianjia.com/ershoufang/106100659992.html
中楼层 (共18层),惠州,85.52㎡,,满两年,恒安绿园,8772yuan/m2,大亚湾西区,3室2厅1厨2卫,70年,大亚湾,90w,其他,"
                    满两年  周 边配套齐全 小区绿化很好
                  ",南,102.6㎡,https://hui.lianjia.com/ershoufang/105101060850.html
中楼层 (共29层),惠州,61.23㎡,,满五年,公园道花园,7534yuan/m2,大亚湾区,2室2厅1厨1卫,70年,大亚湾,56w,毛坯,"
                    此房楼层好，视野开阔，满五唯一、且交通便利，配套齐全，空气好
                  ",北,74.33㎡,https://hui.lianjia.com/ershoufang/105100945456.html
低楼层 (共30层),重庆,126㎡,,满两年,恒大名都,17028yuan/m2,大坪,4室2厅1厨2卫,50年,渝中,252w,其他,"
                    楼层好，采光通风效果棒，看湖看中庭，视野开阔，户型方正，
                  ",东南,148㎡,https://cq.lianjia.com/ershoufang/106100699103.html
低楼层 (共33层),重庆,145.48㎡,,满五年,协信天骄城,14036yuan/m2,彩云湖,4室2厅2厨2卫,50年,九龙坡,240w,精装,"
                    业主自己住家装修，业主以前是做装修这块的，所以材料都是用的很好的，空调是做的风管机空调，地下有地暖，沙发是实木沙发。。业主自己装修大概花了有100万左右，所以质量都是很好的

                  ",南,171㎡,https://cq.lianjia.com/ershoufang/106100728595.html
中楼层 (共6层),重庆,126.55㎡,,满五年,恒美公园1号,15786yuan/m2,鸳鸯,4室2厅1厨2卫,50年,渝北,220w,精装,"
                    该小区高层、洋房一体，环境优美，位置安静，住家舒适，总建筑面积约6.29万方，规划户数为266户，小区绿化高达40.2。由8栋纯板式花园洋房呈半围合组成，南北通透，采光通风好。楼间距宽，个人的私密空间强。
                  ",北,139.37㎡,https://cq.lianjia.com/ershoufang/106100728989.html
低楼层 (共12层),重庆,166.42㎡,,满五年,爱丁堡,8621yuan/m2,花卉园,4室3厅1厨3卫,50年,江北,165w,其他,"
                    满五年，正规四房，另带储物间，弧形大阳台，住家安静。
                  ",南 北,191.41㎡,https://cq.lianjia.com/ershoufang/106100734839.html
高楼层 (共12层),惠州,10.62㎡,,满五年,润鑫花园,10349yuan/m2,淡水,3室2厅1厨2卫,70年,惠阳,120w,其他,"
                    满两年免增值税 大三房 户型方正 中高楼层 采光充足 业主诚心.
                  ",东南,115.96㎡,https://hui.lianjia.com/ershoufang/105101047591.html
高楼层 (共32层),惠州,57.86㎡,,满两年,御玺山大峡谷一期,9386yuan/m2,大亚湾西区,2室2厅1厨1卫,70年,大亚湾,70w,毛坯,"
                    楼层好，视野宽阔，采光充足，朝东南看整个金龟山公园！
                  ",东南,74.58㎡,https://hui.lianjia.com/ershoufang/105101035857.html
中楼层 (共32层),重庆,145.69㎡,,满五年,金科廊桥水岸,12620yuan/m2,海尔路,4室2厅1厨2卫,50年,江北,220w,简装,"
                    四房带院馆，中式简单装修；中庭视野，三个卧室朝中庭。
                  ",东北,174.33㎡,https://cq.lianjia.com/ershoufang/106100694878.html
中楼层 (共24层),惠州,69.68㎡,,满五年,爱顿第三季,11721yuan/m2,大亚湾西区,4室2厅1厨2卫,70年,大亚湾,105w,精装,"
                    爱顿第3季地处大亚湾西区，距离布吉关口的车行距离为45公里；该生态新区是在城市中发现的一片净土，远离城市的喧嚣，没有杂乱的农民房，与其他地方常见的工业厂房绝缘，是大亚湾少有的纯住宅居住区 。

                  ",西,89.59㎡,https://hui.lianjia.com/ershoufang/105101028359.html
低楼层 (共26层),惠州,110.52㎡,,满两年,中兴佳苑,8257yuan/m2,大亚湾中心区,4室2厅1厨2卫,70年,大亚湾,110w,其他,"
                    3+1房，户型方正，南北通透，中层，业主诚心出售。
                  ",北,133.23㎡,https://hui.lianjia.com/ershoufang/105101037789.html
中楼层 (共11层),惠州,60.16㎡,,满五年,花样年别样城一期,12461yuan/m2,淡水,2室2厅1厨1卫,70年,惠阳,87.4w,精装,"
                    城轨：惠州城轨一号线（规划）； 高速：深海高速、惠大高速、长深高速； 公交：惠阳1B路（惠阳汽车客运站-花样年）， 惠阳2路（伯恩厂-坜下村），惠阳11路（文昌小 学-惠阳行 政 中 心 ），； 长途 : 惠 阳汽车客 运站，有发往深圳、广州等各地的班车；  ..
                  ",东南,70.14㎡,https://hui.lianjia.com/ershoufang/105100905545.html
低楼层 (共16层),惠州,28.16㎡,,满两年,幸福里,12591yuan/m2,淡水,2室1厅1厨1卫,70年,惠阳,45w,其他,"
                    周*边商场有：人人乐，百思特购物广场，万联购物广场，时代广场，嘉信茂广场，商贸广场，裕华百货，大润发，天虹购物广场等。
                  ",南,35.74㎡,https://hui.lianjia.com/ershoufang/105101049232.html
高楼层 (共32层),重庆,76.59㎡,,满五年,诚投天邻风景,11309yuan/m2,石子山,2室2厅1厨1卫,50年,江北,105w,精装,"
                    满五年，免增值税，装修两房，楼层高视野好。
                  ",北,92.85㎡,https://cq.lianjia.com/ershoufang/106100554747.html
中楼层 (共5层),惠州,109.56㎡,,满五年,半岛1号一期,9837yuan/m2,淡水,3室2厅1厨2卫,70年,惠阳,120w,其他,"
                    小区绿化45 居住很舒适 入住率高有人气 配套设施齐全 环境优美 东南亚园林花园社区,：近深圳区， 直抵龙岗区，深圳方向在深汕高速公路惠阳淡水出口下高速路，经金惠大道转入东华路进入楼盘。
                  ",南,122㎡,https://hui.lianjia.com/ershoufang/105101054391.html
中楼层 (共24层),惠州,38.5㎡,,满五年,景乐园商务大厦,7949yuan/m2,大亚湾西区,1室1厅0厨1卫,70年,大亚湾,37w,其他,"
                    小孩老人可以在小区内部休闲娱乐，交通及配套成熟，坐拥万达.
                  ",西南,46.55㎡,https://hui.lianjia.com/ershoufang/105101034754.html
高楼层 (共33层),重庆,107.44㎡,,满五年,龙湖江与城千山万树,13132yuan/m2,大竹林,3室2厅1厨2卫,50年,渝北,170w,毛坯,"
                                              ",东南,129.46㎡,https://cq.lianjia.com/ershoufang/106100657697.html
低楼层 (共31层),重庆,45.05㎡,,满五年,金阳牛津街,9616yuan/m2,站西路,1室2厅1厨1卫,50年,沙坪坝,55w,简装,"
                    此房满二无增值税，自己解押，家电齐全，诚心出售，安静。
                  ",东南,57.2㎡,https://cq.lianjia.com/ershoufang/106100453056.html
中楼层 (共25层),惠州,63.73㎡,,满五年,天域花园,10058yuan/m2,南站新城,3室2厅1厨1卫,70年,惠阳,84w,其他,"
                    近深圳地铁口，83万的大两房，满2年，红本在手，业主急售
                  ",北,83.52㎡,https://hui.lianjia.com/ershoufang/105101055180.html
低楼层 (共28层),惠州,123.66㎡,,满两年,锦惠大厦,6771yuan/m2,南站新城,3室2厅1厨2卫,70年,惠阳,108w,其他,"
                    交通方便 电梯三房 格局方正 采光好 配套成熟
                  ",西南,159.52㎡,https://hui.lianjia.com/ershoufang/105101055132.html
低楼层 (共11层),惠州,59.64㎡,,满五年,花样年别样城一期,10679yuan/m2,淡水,2室2厅1厨1卫,70年,惠阳,74w,简装,"
                    此房为业主居家装修，随时可以拎包入住，家私家电配套齐全！购买即可入住！
                  ",北,69.3㎡,https://hui.lianjia.com/ershoufang/105100856995.html
中楼层 (共34层),重庆,72.29㎡,,满五年,学府大道69号美梦城真,11024yuan/m2,六公里,3室2厅1厨2卫,50年,南岸,96w,精装,"
                    此房满五年，正规三方两卫。已经满五年，可以免增值税。
                  ",北,87.09㎡,https://cq.lianjia.com/ershoufang/106100730038.html
低楼层 (共33层),惠州,82.17㎡,,满五年,碧桂园南站新城,10966yuan/m2,南站新城,4室2厅1厨2卫,70年,惠阳,118w,其他,"
                    此房满五唯一，只交契税即可，碧桂园重 点打造的品质卫星城。
                  ",南,107.61㎡,https://hui.lianjia.com/ershoufang/105101053606.html
低楼层 (共17层),重庆,54.37㎡,,满两年,东海岸,11668yuan/m2,大石坝,3室2厅1厨1卫,50年,江北,78w,精装,"
                    跃层3房 证在手 朝东 精装修拎包入住 产权清晰交易方便
                  ",东,66.85㎡,https://cq.lianjia.com/ershoufang/106100582940.html
中楼层 (共30层),惠州,99.38㎡,,满两年,中天彩虹城北区,11576yuan/m2,南站新城,3室2厅1厨2卫,70年,惠阳,140w,毛坯,"
                    中天彩虹城 满五唯一 红本在手 正规三房 业主诚心出售
                  ",南,120.95㎡,https://hui.lianjia.com/ershoufang/105101031121.html
中楼层 (共11层),惠州,52.93㎡,,满五年,花样年别样城一期,12217yuan/m2,淡水,2室2厅1厨1卫,70年,惠阳,75w,精装,"
                    该小区位于惠阳汽车客运总站斜对 面，深惠同城巴士2号线直达深圳，惠阳区内2路、3路公交及惠州市内99路公交直达大亚湾和惠城区，距深汕高速淡水出口大概2公里，更有水官、机荷、梅观、沿海等多条高速线路直通深圳，距离高铁站惠州南站直线距离约4公里。
                  ",西北,61.39㎡,https://hui.lianjia.com/ershoufang/105100928192.html
中楼层 (共11层),重庆,63.05㎡,,满两年,橄榄郡,12522yuan/m2,冉家坝,2室2厅1厨1卫,50年,渝北,93w,精装,"
                                              ",东,74.27㎡,https://cq.lianjia.com/ershoufang/106100737271.html
高楼层 (共34层),重庆,暂无数据,,满五年,金科十年城西区,13099yuan/m2,石马河,2室2厅1厨1卫,50年,江北,102w,精装,"
                    此房为十年城西区装修两房，当时装修了20万左右，名品家具。
                  ",东,77.87㎡,https://cq.lianjia.com/ershoufang/106100608357.html
中楼层 (共32层),重庆,84.7㎡,,满五年,骏逸蓝山,12167yuan/m2,四公里,3室2厅1厨2卫,50年,南岸,125w,简装,"
                    洋房小区环境，装修新，保持好。家具电家新
                  ",南 北,102.74㎡,https://cq.lianjia.com/ershoufang/106100730029.html
高楼层 (共11层),惠州,30.84㎡,,满五年,太阳湾,11063yuan/m2,大亚湾西区,1室1厅1厨1卫,70年,大亚湾,43w,简装,"
                    正规一房一厅，户型方正，使用率高，朝南向，中间楼层，居住舒适
                  ",南,38.87㎡,https://hui.lianjia.com/ershoufang/105101025511.html
低楼层 (共6层),北京,75.85㎡,,满五年,前沙涧路7号院,36921yuan/m2,海淀其它,2室1厅1厨1卫,暂无数据,海淀,317w,简装,"
                    此房是板楼，南北通透的两居室，通风效果好，中低楼层，无遮挡
                  ",南 北,85.86㎡,https://bj.lianjia.com/ershoufang/101102133621.html
高楼层 (共32层),重庆,72.77㎡,,满五年,华宇林泉雅舍,11348yuan/m2,杨公桥,2室2厅1厨2卫,50年,沙坪坝,95w,精装,"
                    此房证在手上，证上一个人的名字。交易方便
                  ",东,83.72㎡,https://cq.lianjia.com/ershoufang/106100725380.html
高楼层 (共17层),惠州,96.75㎡,,满五年,水墨林溪雅苑,9323yuan/m2,大亚湾西区,3室2厅1厨2卫,70年,大亚湾,110w,其他,"
                    业主的房子满五年，是唯一住宅。银行无欠款，红本在手。
                  ",南 北,118㎡,https://hui.lianjia.com/ershoufang/105101004923.html
低楼层 (共18层),北京,67.07㎡,,满五年,炫特嘉园三期,60850yuan/m2,石佛营,2室1厅1厨1卫,有,朝阳,590w,精装,"
                    此房为炫特嘉园三期的房子，东南北朝向，满五年唯一
                  ",东 南 北,96.96㎡,https://bj.lianjia.com/ershoufang/101102128616.html
中楼层 (共7层),惠州,1㎡,,满五年,翠微苑,3589yuan/m2,淡水,1室1厅1厨1卫,70年,惠阳,17w,其他,"
                    采光充足，楼层好 此房满五唯一
                  ",北,47.38㎡,https://hui.lianjia.com/ershoufang/105101058951.html
中楼层 (共22层),北京,38.82㎡,,满五年,西现代城,54248yuan/m2,杨庄,1室0厅1厨1卫,有,石景山,265w,精装,"
                    此房是2004年楼龄，开间户型，可以做正规一居室，北向落地窗，时尚简约
                  ",北,48.85㎡,https://bj.lianjia.com/ershoufang/101102122265.html
顶层 (共5层),北京,38.55㎡,,满五年,华仁路小区,94426yuan/m2,陶然亭,2室1厅1厨1卫,暂无数据,西城,520w,精装,"
                                              ",南 西 北,55.07㎡,https://bj.lianjia.com/ershoufang/101102121125.html
底层 (共6层),北京,暂无数据,,满五年,交道口北二条35号院,125834yuan/m2,交道口,3室1厅1厨1卫,暂无数据,东城,830w,简装,"
                                              ",南 北,65.96㎡,https://bj.lianjia.com/ershoufang/101102153740.html
中楼层 (共23层),北京,71.42㎡,,满五年,富力又一城C区,54738yuan/m2,豆各庄,2室2厅1厨1卫,有,朝阳,472w,其他,"
                    商品房，钢混结构，高楼层，全西向，客厅卧室全部飘窗设计，无遮挡，采光好 视野好，直观小区花园湖。
                  ",西,86.23㎡,https://bj.lianjia.com/ershoufang/101102008014.html
中楼层 (共31层),重庆,65.27㎡,,满五年,锦绣花园,6303yuan/m2,东部新城,2室2厅1厨1卫,50年,江津,50.8w,精装,"
                    此房楼层好，视野开阔，交通便利，配套设施齐全。
                  ",南,80.6㎡,https://cq.lianjia.com/ershoufang/106100729886.html
顶层 (共18层),北京,48.58㎡,,满五年,博客园,42240yuan/m2,乔庄,1室0厅1厨1卫,有,通州,255w,简装,"
                    房子为商品房，满五年是业主家庭名下唯一住房，首套契税1%，二套契税3%
                  ",西,60.37㎡,https://bj.lianjia.com/ershoufang/101101641581.html
高楼层 (共27层),重庆,105.1㎡,,满两年,国瑞城3期,10124yuan/m2,步行街,3室2厅1厨2卫,50年,大渡口,130w,精装,"
                                              ",南,128.42㎡,https://cq.lianjia.com/ershoufang/106100728195.html
高楼层 (共6层),北京,暂无数据,,满五年,康家园,68872yuan/m2,甘露园,1室1厅1厨1卫,暂无数据,朝阳,279w,精装,"
                    康家园南向板楼一居室,楼层5/6，采光充足，装修好
                  ",南,40.51㎡,https://bj.lianjia.com/ershoufang/101102025428.html
低楼层 (共30层),重庆,72.97㎡,,满五年,协信彩云湖1号,12319yuan/m2,彩云湖,2室2厅1厨1卫,50年,九龙坡,110w,精装,"
                    两室两厅，客厅朝北，主卧朝北，次卧朝西，房龄新，环境好，楼层低，适合老人小孩居住
                  ",北,89.3㎡,https://cq.lianjia.com/ershoufang/106100644760.html
低楼层 (共31层),重庆,87.38㎡,,满五年,书香美舍,11297yuan/m2,凤天路,3室2厅1厨2卫,50年,沙坪坝,122w,毛坯,"
                    此房为清水房，带阳台，采光充足、房子不临街 住家安静。
                  ",东北,108㎡,https://cq.lianjia.com/ershoufang/106100739114.html
高楼层 (共12层),重庆,104.8㎡,,满五年,珠江花园,10382yuan/m2,杨家坪,3室2厅1厨2卫,50年,九龙坡,130w,简装,"
                    商场：农贸市场 医院：西郊医院，供电：10KV开闭所，直接由和尚山电站引入。 供水：采取高、低分区供水系统。 消防：一级耐火等级，低高压消防环管，消防蓄水池
                  ",东南,125.22㎡,https://cq.lianjia.com/ershoufang/106100674368.html
高楼层 (共24层),重庆,65.17㎡,,满两年,鲁能星城星城汇,13233yuan/m2,龙头寺,2室2厅1厨1卫,50年,渝北,115w,精装,"
                    房子采光充足丨朝北丨装修两年丨户型方正丨自己住家装修
                  ",北,86.91㎡,https://cq.lianjia.com/ershoufang/106100417591.html
高楼层 (共33层),重庆,115.3㎡,,满两年,兴茂盛世国际,11786yuan/m2,彩云湖,4室2厅1厨2卫,50年,九龙坡,165w,精装,"
                    四室两厅 带飘窗 卫生间不在两卧室之间 厨房有窗 带生活阳台，客厅是封闭的 独立餐厅
                  ",东南,140㎡,https://cq.lianjia.com/ershoufang/106100682160.html
中楼层 (共20层),北京,暂无数据,,满五年,安慧北里秀园,74957yuan/m2,亚运村,2室1厅1厨1卫,有,朝阳,475w,精装,"
                    精装修，中间楼层，采光好，小区车位充足
                  ",西南,63.37㎡,https://bj.lianjia.com/ershoufang/101102020257.html
高楼层 (共5层),重庆,171.73㎡,,满五年,金科廊桥水乡D区,7294yuan/m2,大学城,4室2厅1厨2卫,50年,沙坪坝,140w,毛坯,"
                    此房已满五年不唯一，南北向户型方正5+1跃层洋房
                  ",南 北,191.95㎡,https://cq.lianjia.com/ershoufang/106100726697.html
低楼层 (共22层),北京,74.15㎡,,满五年,顶秀欣园西苑,49657yuan/m2,赵公口,2室1厅1厨1卫,有,丰台,455w,简装,"
                    此房满五年，距离宋家庄地铁站700米左右
                  ",东南,91.63㎡,https://bj.lianjia.com/ershoufang/101102015081.html
中楼层 (共9层),北京,95.93㎡,,满五年,百旺新城,74647yuan/m2,西北旺,3室2厅1厨2卫,有,海淀,840w,精装,"
                    南北通透，带电梯，居住舒适，出行方便。
                  ",南 北,112.53㎡,https://bj.lianjia.com/ershoufang/101101493296.html
低楼层 (共24层),北京,73.65㎡,,满五年,橙色年代,62605yuan/m2,六里桥,2室2厅1厨1卫,有,海淀,600w,精装,"
                    房子是正规的东向大两居，一进门左手边是小卧室，右手边是卫生间，卫生间干湿分离，厨房带阳台朝东，次卧通过厨房的阳台采光，主卧室落地飘窗朝东，客厅落地飘窗带阳台朝东.户型方正，格局合理。东向对着小区，不临街，很安静.
                  ",东,95.84㎡,https://bj.lianjia.com/ershoufang/101101549104.html
底层 (共6层),北京,暂无数据,,满五年,清和园,41918yuan/m2,旧宫,2室1厅1厨1卫,暂无数据,大兴,300w,简装,"
                    房子是1996年建成的，混合结构，属于三七墙，隔音效果好。房子一南一北各一个卧室，中间是客厅，私密性较好。此种71.57平米格局是清和园小区的经典户型，南北双阳台，房子一直都是业主在自住，室内保持的比较好！
                  ",南 北,71.57㎡,https://bj.lianjia.com/ershoufang/101101863212.html
中楼层 (共26层),北京,51.81㎡,,满五年,远洋山水,66736yuan/m2,鲁谷,1室1厅1厨1卫,有,石景山,450w,精装,"
                    房子原始格局是一个大一室一厅，业主改成了一个两居室，主卧室朝西带落地阳台，次卧借用了原来客厅的窗户，客厅放了一张餐桌，整体卫浴和整体厨房，布局合理，居住舒适。
                  ",西,67.43㎡,https://bj.lianjia.com/ershoufang/101101772366.html
顶层 (共16层),北京,55.44㎡,,满五年,苹果园小区二区,45386yuan/m2,苹果园,2室1厅1厨1卫,有,石景山,359w,简装,"
                    房子是1994年的钢混结构 房子是正规的两居室 主卧室朝南带有南向的阳台 次卧室朝西 
                  ",西南,79.1㎡,https://bj.lianjia.com/ershoufang/101101574475.html
中楼层 (共11层),北京,129.68㎡,,满五年,汤泉逸墅,104658yuan/m2,四季青,3室2厅1厨2卫,有,海淀,1620w,其他,"
                    此房房本满五年，中楼层南北通透三居室，精装修，交通便利
                  ",南 北,154.79㎡,https://bj.lianjia.com/ershoufang/101101798446.html
高楼层 (共28层),北京,84.35㎡,,满五年,天通苑北一区,40105yuan/m2,天通苑,2室1厅1厨1卫,有,昌平,398w,简装,"
                    2004年新建小区，西南北朝向，客厅带飘窗，餐厅位置带窗户，可以改三居室，卫生间是全明的，通风效果好，主卧室带一个落地阳台，二个卧室的窗户都是双朝向的窗户，厨房也有一个小阳台，房子格局方正，动静分开。
                  ",西北,99.24㎡,https://bj.lianjia.com/ershoufang/101101798416.html
高楼层 (共8层),北京,63.5㎡,,满五年,天鹅湾北区,124006yuan/m2,朝青,2室2厅1厨2卫,有,朝阳,998w,精装,"
                    此房满五年无个税，客厅挑高户型方正，无遮挡不临街，正规两居
                  ",东南,80.48㎡,https://bj.lianjia.com/ershoufang/101101797568.html
低楼层 (共6层),北京,149.13㎡,,满五年,御墅临枫锦园一区,88389yuan/m2,西山,4室2厅2厨2卫,有,海淀,1498w,精装,"
                    目前房间内的格局实用合理，进门正对客厅餐厅，中西厨房使用方便，客厅带落地阳台方正亮堂；客厅往里是一间改造后的卧室朝北面积够用；进门右手是次卫生间，南面三个卧室正朝阳，两间带落地阳台，采光视野都很好，主卧室带独立衣帽间和卫生间。
                  ",南 北,169.48㎡,https://bj.lianjia.com/ershoufang/101101962183.html
中楼层 (共26层),北京,85.52㎡,,满五年,欧陆经典,87069yuan/m2,亚运村小营,2室2厅1厨1卫,有,朝阳,950w,精装,"
                    此房满五年业主在京就这一套房子；户型方正西南两居；高楼层
                  ",西南,109.11㎡,https://bj.lianjia.com/ershoufang/101101812602.html
底层 (共11层),北京,43.46㎡,,满五年,惠民家园,41756yuan/m2,大峪,1室1厅1厨1卫,有,门头沟,215w,简装,"
                    房子是低楼层适合老年人居住，朝向是西北向，每个功能间都有窗户，厨房和卫生间在进门的位置朝北带窗户，客厅朝北带阳台，卧室朝西带飘窗，客厅还有个餐厅的位置，户型方正，没有浪费面积。
                  ",西北,51.49㎡,https://bj.lianjia.com/ershoufang/101101828614.html
低楼层 (共6层),北京,暂无数据,,满五年,安贞里,80008yuan/m2,安贞,2室1厅1厨1卫,暂无数据,朝阳,435w,其他,"
                    南北通透   满五年唯一  配套齐全，低楼层
                  ",南 北,54.37㎡,https://bj.lianjia.com/ershoufang/101101855881.html
低楼层 (共18层),北京,65.67㎡,,满五年,远洋万和城B区,113555yuan/m2,亚运村小营,2室1厅1厨1卫,有,朝阳,950w,精装,"
                    东北两居 满五年 业主名下无二套 观景好 前后对花园 精装修 
                  ",东北,83.66㎡,https://bj.lianjia.com/ershoufang/101101801797.html
低楼层 (共17层),北京,44.37㎡,,满五年,瞰都国际,76454yuan/m2,酒仙桥,1室0厅1厨1卫,有,朝阳,463w,精装,"
                                              ",东,60.56㎡,https://bj.lianjia.com/ershoufang/101101786427.html
中楼层 (共18层),北京,52.6㎡,,满五年,11站,50990yuan/m2,梨园,1室1厅1厨1卫,有,通州,340w,精装,"
                                              ",南,66.68㎡,https://bj.lianjia.com/ershoufang/101102030429.html
低楼层 (共29层),北京,93.07㎡,,满五年,三环新城7号院,53648yuan/m2,玉泉营,3室1厅1厨2卫,有,丰台,620w,简装,"
                    本房满五唯一商品房，西南向三居室，格局方正，没有浪费的面积
                  ",西南,115.57㎡,https://bj.lianjia.com/ershoufang/101102061208.html
低楼层 (共23层),北京,48.06㎡,,满五年,冠城名敦道,75965yuan/m2,广渠门,1室0厅1厨1卫,有,东城,518w,精装,"
                                              ",东,68.19㎡,https://bj.lianjia.com/ershoufang/101101687121.html
低楼层 (共6层),北京,40.84㎡,,满五年,里仁街6号院,106521yuan/m2,右安门内,2室1厅1厨1卫,暂无数据,西城,575w,简装,"
                                              ",南 北,53.98㎡,https://bj.lianjia.com/ershoufang/101102086098.html
高楼层 (共21层),北京,62.09㎡,,满五年,融科香雪兰溪,37617yuan/m2,马驹桥,2室1厅1厨1卫,有,通州,320w,精装,"
                    融科香雪兰溪 朝南两居 精装修 中间楼层 满五唯一
                  ",南,85.07㎡,https://bj.lianjia.com/ershoufang/101102017934.html
底层 (共6层),北京,暂无数据,,满五年,北河沿大街,129339yuan/m2,灯市口,1室1厅1厨1卫,暂无数据,东城,436w,简装,"
                                              ",南,33.71㎡,https://bj.lianjia.com/ershoufang/101101646419.html
中楼层 (共11层),北京,87.64㎡,,满五年,天怡家园,62615yuan/m2,北苑,2室2厅1厨1卫,有,朝阳,650w,精装,"
                                              ",南 北,103.81㎡,https://bj.lianjia.com/ershoufang/101101444604.html
低楼层 (共28层),北京,79.02㎡,,满五年,西豪逸景,84702yuan/m2,广安门,2室1厅1厨1卫,有,西城,820w,简装,"
                                              ",东,96.81㎡,https://bj.lianjia.com/ershoufang/101101774173.html
低楼层 (共21层),北京,59.82㎡,,满五年,瑞丽江畔,59424yuan/m2,马家堡,1室2厅1厨1卫,有,丰台,425w,其他,"
                    此房没有抵押没有户口，业主换房，可以先卖后买，适合刚需客户。
                  ",西,71.52㎡,https://bj.lianjia.com/ershoufang/101102012012.html
高楼层 (共6层),北京,44046㎡,,满五年,天宁寺西里,81861yuan/m2,天宁寺,2室1厅1厨1卫,暂无数据,西城,477w,简装,"
                                              ",南 北,58.27㎡,https://bj.lianjia.com/ershoufang/101101810087.html
高楼层 (共6层),北京,60㎡,,满五年,农光东里,62183yuan/m2,劲松,2室1厅1厨1卫,暂无数据,朝阳,380w,简装,"
                                              ",南 北,61.11㎡,https://bj.lianjia.com/ershoufang/101101428860.html
中楼层 (共24层),北京,66.58㎡,,满五年,方南家园一期,49902yuan/m2,刘家窑,2室1厅1厨1卫,有,丰台,407w,简装,"
                                              ",东,81.56㎡,https://bj.lianjia.com/ershoufang/101102101605.html
